name,qn_or_ans,y_top,y_bottom,confident,recognition_result
answer_1_0_72.jpg,ans,0,72,0.8030887338546288,out
answer_2_72_183.jpg,ans,72,183,0.948695113635015,6
answer_3_183_294.jpg,ans,183,294,0.9999282372952081,5
answer_4_294_404.jpg,ans,294,404,0.999999046325911,2
answer_5_404_517.jpg,ans,404,517,0.40396307705238144,out
answer_6_517_630.jpg,ans,517,630,0.32437571552325456,out
answer_7_630_744.jpg,ans,630,744,0.0,
answer_8_744_857.jpg,ans,744,857,0.9999415883011267,2
answer_9_857_971.jpg,ans,857,971,0.0,
answer_10_971_1084.jpg,ans,971,1084,0.0727171113352945,out
answer_11_1084_1334.jpg,ans,1084,1334,0.0,
answer_12_1334_1440.jpg,ans,1334,1440,0.0,
answer_13_1440_1546.jpg,ans,1440,1546,0.0,
answer_14_1546_1652.jpg,ans,1546,1652,0.0,
answer_15_1652_1758.jpg,ans,1652,1758,0.0,
answer_16_1758_1864.jpg,ans,1758,1864,0.0,
answer_17_1864_1970.jpg,ans,1864,1970,0.0,
answer_18_1970_2076.jpg,ans,1970,2076,0.0,
answer_19_2076_2180.jpg,ans,2076,2180,0.0,
answer_20_2180_2285.jpg,ans,2180,2285,0.0,
answer_21_2285_2388.jpg,ans,2285,2388,0.0,
